Emerging Economies and International Development MSc	King’s College London	Faculty of Social Science & Public Policy	Full time	Our Emerging Economies & International Development MSc offers a distinctive approach to the study of development by focusing on emerging economies. We combine distinct disciplinary training on subjects like development theory, political economy and social policy with applied case studies on particular countries and regions.Visit our online hubs for content, news and events about the Department of International Development 	September	
	MSc	1 year FT / 2 years PT	London	United Kingdom	On Campus	
