Political Economy of Emerging Markets MSc	King’s College London	Faculty of Social Science & Public Policy	Full time	Our Political Economy of Emerging Markets MSc offers a distinctive approach to the study of development. We focus on the political economy of emerging markets, especially national development strategies and the underlying politics and institutions that underpin such strategies. The course also covers subjects such as development theory, business and state relations and public finance management. The programme allows you to develop your own research interests on particular countries and regions.Visit our online hubs for content, news and events about the Department of International Development 	September	
	MSc	1 year FT / 2 years PT	London	United Kingdom	On Campus	
