China & Globalisation MSc	King’s College London	Faculty of Social Science & Public Policy	Full time	Our China & Globalisation MSc provides an introduction to the causes and consequences of China’s rise from comparative and global perspectives. It will equip you with the conceptual and research tools necessary for the critical analysis of China’s social, political, and economic trends, and support your understanding of Chinese public policies, business strategies and modes of international cooperation.Visit our online hubs for content, news and events about the Lau China Institute 	September	
	MSc	1 year FT; 2 years PT	London	United Kingdom	On Campus	
