Environment, Politics and Development MSc	King’s College London	Faculty of Social Science & Public Policy	Full time	Our Environment, Politics and Development MSc provides an advanced theoretical understanding of the relationship between development problems and environmental issues. You will explore these relationships from the perspectives of political ecology, development geography and environmental governance. To illustrate these relationships, we use relevant case studies drawn from across the globe. Visit our online hubs for content, news and events about the Department of Geography 	September	
	MSc	One year FT; two years PT	London	United Kingdom	On Campus	
