Global Affairs MSc	King’s College London	Faculty of Social Science & Public Policy	Full time	The MSc Global Affairs examines the politics, society, economics and history of the world’s non-western, regional and rising powers and their role within a changing world order.Visit our online hubs for content, news and events about the African Leadership Centre 	September	
	MSc	Full-time: One year; part-time: two years	London	United Kingdom	On Campus	
