Leadership and Development MSc	King’s College London	Faculty of Social Science & Public Policy	Full time	Our Leadership & Development MSc focuses on the issues that highlight leadership’s central position in the dynamics of development. It will give you an understanding of the increasingly key role leadership plays in the developmental challenges that confront developing societies.Visit our online hub for content, news and events about the African Leadership Centre 	September	
	MSc	1 year FT	London	United Kingdom	On Campus	
