Endangered Species Recovery and Conservation MRes / MSc	Nottingham Trent University	School of Animal, Rural & Environmental Sciences	Full time	Delivered in collaboration with the internationally-renowned Durrell Conservation Academy, this postgraduate degree provides you with an international outlook on species recovery. You'll help meet the global need for academically proficient and technically expert individuals, who can bridge the gap between in-situ and ex-situ approaches to conservation.If you have any questions about our Endangered Species Recovery and Conservation course, you can now chat to our experienced lecturers and course leaders through 	September	
	MSc	1 year full time, 2 years part time	Nottingham	United Kingdom	On Campus	
